filename,site,bait,bait_type,angelfishes,blennies,butterflyfishes,coral_breams,eels,elongate_sand_burrow_dwellers,emperors,filefishes,fusiliers,goatfishes,groupers_large,hawkfishes,moorish_idol,parrotfishes,porcupinefishes,puffers,rabbitfishes,small_ovals_damselfishes,snappers,surgeonfishes,triggerfishes,trumpetfishes,wrasses
20240516-utumbi-mackerel.csv,utumbi,mackerel,fish,2.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,2.0,7.0,0.0,0.0,1.0,121.0,3.0,12.0,5.0,0.0,11.0
20241025-utumbi-ulva_salad.csv,utumbi,ulva_salad,algae,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,88.0,2.0,1.0,1.0,2.0,84.0,0.0,1.0,2.0,140.0,0.0,4.0,2.0,2.0,4.0
20241026-utumbi-mackerel.csv,utumbi,mackerel,fish,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,42.0,1.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,127.0,1.0,2.0,6.0,2.0,5.0
20241027-utumbi-ulva_salad.csv,utumbi,ulva_salad,algae,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,48.0,2.0,2.0,1.0,1.0,7.0,0.0,0.0,0.0,64.0,1.0,2.0,2.0,2.0,5.0
20241029-utumbi-ulva_gutweed.csv,utumbi,ulva_gutweed,algae,3.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,11.0,0.0,0.0,2.0,56.0,1.0,3.0,2.0,1.0,2.0
20241030-utumbi-ulva_gutweed.csv,utumbi,ulva_gutweed,algae,3.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,13.0,1.0,0.0,2.0,35.0,1.0,3.0,2.0,1.0,3.0
20241105-utumbi-control.csv,utumbi,control,control,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,112.0,1.0,32.0,3.0,1.0,3.0
20241110-utumbi-ulva_salad.csv,utumbi,ulva_salad,algae,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,87.0,1.0,1.0,1.0,2.0,9.0,0.0,0.0,7.0,56.0,1.0,3.0,2.0,1.0,3.0
20241111-utumbi-control.csv,utumbi,control,control,2.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,1.0,13.0,0.0,1.0,0.0,55.0,1.0,3.0,1.0,1.0,2.0
20241112-utumbi-ulva_gutweed.csv,utumbi,ulva_gutweed,algae,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,5.0,0.0,1.0,2.0,66.0,1.0,4.0,2.0,1.0,1.0
20241114-utumbi-control.csv,utumbi,control,control,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,6.0,0.0,1.0,0.0,28.0,1.0,4.0,1.0,1.0,2.0
20241115-utumbi-control.csv,utumbi,control,control,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,7.0,0.0,1.0,1.0,83.0,0.0,2.0,1.0,2.0,3.0
20241124-utumbi-mackerel.csv,utumbi,mackerel,fish,1.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,16.0,0.0,0.0,2.0,94.0,3.0,3.0,5.0,1.0,6.0
20241127-utumbi-sargassum.csv,utumbi,sargassum,algae,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,24.0,9.0,2.0,1.0,4.0,17.0,0.0,1.0,0.0,54.0,1.0,2.0,5.0,1.0,2.0
20241128-utumbi-sargassum.csv,utumbi,sargassum,algae,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,18.0,2.0,1.0,2.0,2.0,8.0,0.0,0.0,0.0,62.0,2.0,3.0,2.0,1.0,3.0
20241129-utumbi-sargassum.csv,utumbi,sargassum,algae,2.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,28.0,4.0,2.0,1.0,2.0,15.0,1.0,0.0,0.0,34.0,2.0,2.0,4.0,1.0,3.0
20241209-utumbi-fischmix.csv,utumbi,fischmix,fish,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,37.0,3.0,3.0,2.0,1.0,7.0,0.0,0.0,1.0,49.0,2.0,5.0,10.0,1.0,8.0
20241210-utumbi-fischmix.csv,utumbi,fischmix,fish,1.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,21.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,27.0,1.0,3.0,5.0,0.0,7.0
