koeder_a,koeder_b,n_a,n_b,mean_total_a,mean_total_b,u_stat,p_value,p_value_holm,p_value_bh,significant_holm,significant_bh,sig_label_raw,sig_label_holm
control,fischmix,3,1,0.0,12.0,0.0,0.24821307898992362,1.0,0.531885169264122,False,False,ns,ns
control,mackerel,3,3,0.0,4.333333333333333,3.0,0.5049850750938458,1.0,0.7686857204328724,False,False,ns,ns
control,sargassum,3,3,0.0,2.0,0.0,0.04685417760387376,0.6559584864542326,0.2342708880193688,False,False,*,ns
control,ulva_gutweed,3,3,0.0,0.0,4.5,1.0,1.0,1.0,False,False,ns,ns
control,ulva_salad,3,4,0.0,0.25,4.5,0.5637028616507731,1.0,0.7686857204328724,False,False,ns,ns
fischmix,mackerel,1,3,12.0,4.333333333333333,2.0,1.0,1.0,1.0,False,False,ns,ns
fischmix,sargassum,1,3,12.0,2.0,3.0,0.24821307898992362,1.0,0.531885169264122,False,False,ns,ns
fischmix,ulva_gutweed,1,3,12.0,0.0,3.0,0.24821307898992362,1.0,0.531885169264122,False,False,ns,ns
fischmix,ulva_salad,1,4,12.0,0.25,4.0,0.2356799134290376,1.0,0.531885169264122,False,False,ns,ns
mackerel,sargassum,3,3,4.333333333333333,2.0,3.0,0.6373518882339371,1.0,0.7966898602924214,False,False,ns,ns
mackerel,ulva_gutweed,3,3,4.333333333333333,0.0,6.0,0.5049850750938458,1.0,0.7686857204328724,False,False,ns,ns
mackerel,ulva_salad,3,4,4.333333333333333,0.25,7.0,0.8254979107046321,1.0,0.9524975892745755,False,False,ns,ns
sargassum,ulva_gutweed,3,3,2.0,0.0,9.0,0.04685417760387376,0.6559584864542326,0.2342708880193688,False,False,*,ns
sargassum,ulva_salad,3,4,2.0,0.25,12.0,0.03569831061844619,0.5354746592766928,0.2342708880193688,False,False,*,ns
ulva_gutweed,ulva_salad,3,4,0.0,0.25,4.5,0.5637028616507731,1.0,0.7686857204328724,False,False,ns,ns
